time,idx,pump_name,set_pump_duty_cycle,pump_feedback,measured_flow_external,measured_flow_integrated
1709121769.4692304,0.0,Wilo,192,64.0,0.000000,
1709121770.472097,1.0,Wilo,336,64.0,0.000000,
1709121771.4733515,2.0,Wilo,391,46.0,0.000000,
1709121772.4751852,3.0,Wilo,448,6.0,0.000000,
1709121773.4767427,4.0,Wilo,469,32.0,669.000000,
1709121774.4790847,5.0,Wilo,529,29.0,702.000000,
1709121775.4787936,6.0,Wilo,425,25.0,642.000000,
1709121776.480444,7.0,Wilo,322,23.0,579.000000,
1709121777.4847,8.0,Wilo,309,17.0,405.000000,
1709121778.4829142,9.0,Wilo,402,25.0,597.000000,
1709121779.4833708,10.0,Wilo,521,31.0,597.000000,
1709121780.484277,11.0,Wilo,552,34.0,804.000000,
1709121781.484882,12.0,Wilo,468,28.0,804.000000,
1709121782.4921196,13.0,Wilo,445,19.0,633.000000,
1709121783.487439,14.0,Wilo,534,11.0,408.000000,
1709121784.4912558,15.0,Wilo,569,20.0,408.000000,
1709121785.4896512,16.0,Wilo,543,22.0,468.000000,
1709121786.493421,17.0,Wilo,427,17.0,471.000000,
1709121787.492679,18.0,Wilo,345,9.0,414.000000,
1709121788.494565,19.0,Wilo,323,10.0,387.000000,
1709121789.494321,20.0,Wilo,370,19.0,387.000000,
1709121790.496522,21.0,Wilo,402,31.0,609.000000,
1709121791.497009,22.0,Wilo,474,33.0,774.000000,
1709121792.5042853,23.0,Wilo,605,31.0,801.000000,
1709121793.4996932,24.0,Wilo,678,25.0,777.000000,
1709121794.5065577,25.0,Wilo,678,19.0,687.000000,
1709121795.5015914,26.0,Wilo,662,9.0,399.000000,
1709121796.5031633,27.0,Wilo,711,4.0,210.000000,
1709121797.503746,28.0,Wilo,595,4.0,210.000000,
1709121798.5049102,29.0,Wilo,473,4.0,156.000000,
1709121799.5058384,30.0,Wilo,437,4.0,156.000000,
1709121800.5078034,31.0,Wilo,444,10.0,96.000000,
1709121801.50931,32.0,Wilo,497,19.0,294.000000,
1709121802.5108557,33.0,Wilo,526,23.0,498.000000,
1709121803.5108733,34.0,Wilo,631,23.0,537.000000,
1709121804.5125983,35.0,Wilo,671,18.0,534.000000,
1709121805.5132163,36.0,Wilo,607,15.0,486.000000,
1709121806.5164006,37.0,Wilo,630,9.0,327.000000,
1709121807.515888,38.0,Wilo,710,4.0,255.000000,
1709121808.5184023,39.0,Wilo,647,6.0,258.000000,
1709121809.5183372,40.0,Wilo,558,7.0,258.000000,
1709121810.5188081,41.0,Wilo,595,4.0,198.000000,
1709121811.5198362,42.0,Wilo,660,4.0,189.000000,
1709121812.5205126,43.0,Wilo,708,10.0,264.000000,
1709121813.5229325,44.0,Wilo,605,9.0,264.000000,
1709121814.5233953,45.0,Wilo,526,5.0,282.000000,
1709121815.524093,46.0,Wilo,494,4.0,168.000000,
1709121816.5258126,47.0,Wilo,449,6.0,219.000000,
1709121817.5283883,48.0,Wilo,464,15.0,276.000000,
1709121818.5291462,49.0,Wilo,444,18.0,345.000000,
1709121819.536841,50.0,Wilo,457,21.0,504.000000,
1709121820.5302494,51.0,Wilo,494,22.0,504.000000,
1709121821.5364366,52.0,Wilo,478,23.0,537.000000,
1709121822.5332358,53.0,Wilo,494,23.0,555.000000,
1709121823.5348961,54.0,Wilo,461,18.0,555.000000,
1709121824.544772,55.0,Wilo,483,19.0,534.000000,
1709121825.5378575,56.0,Wilo,515,18.0,516.000000,
1709121826.5376742,57.0,Wilo,363,20.0,522.000000,
1709121827.5436265,58.0,Wilo,278,18.0,525.000000,
1709121828.5410492,59.0,Wilo,388,15.0,513.000000,
1709121829.5421486,60.0,Wilo,579,24.0,774.000000,
1709121830.5486913,61.0,Wilo,601,35.0,774.000000,
1709121831.5448573,62.0,Wilo,459,29.0,900.000000,
1709121832.546093,63.0,Wilo,459,14.0,600.000000,
1709121833.5521834,64.0,Wilo,541,8.0,321.000000,
1709121834.548704,65.0,Wilo,586,19.0,405.000000,
1709121835.5500073,66.0,Wilo,561,22.0,555.000000,
1709121836.5519385,67.0,Wilo,475,10.0,522.000000,
1709121837.5534105,68.0,Wilo,471,8.0,339.000000,
1709121838.555332,69.0,Wilo,476,8.0,327.000000,
1709121839.5548885,70.0,Wilo,392,15.0,390.000000,
1709121840.5555992,71.0,Wilo,302,21.0,390.000000,
1709121841.559756,72.0,Wilo,385,20.0,453.000000,
1709121842.5595472,73.0,Wilo,434,25.0,528.000000,
1709121843.5595849,74.0,Wilo,353,33.0,786.000000,
1709121844.560552,75.0,Wilo,377,29.0,834.000000,
1709121845.5621407,76.0,Wilo,378,25.0,777.000000,
1709121846.5627875,77.0,Wilo,408,30.0,756.000000,
1709121847.5644145,78.0,Wilo,502,29.0,759.000000,
1709121848.5672975,79.0,Wilo,472,29.0,753.000000,
1709121849.5697556,80.0,Wilo,428,22.0,732.000000,
1709121850.5706046,81.0,Wilo,508,16.0,552.000000,
1709121851.5690508,82.0,Wilo,570,18.0,552.000000,
1709121852.5737748,83.0,Wilo,490,22.0,558.000000,
1709121853.5714245,84.0,Wilo,430,13.0,582.000000,
1709121854.5819097,85.0,Wilo,385,9.0,477.000000,
1709121855.575565,86.0,Wilo,369,14.0,423.000000,
1709121856.578396,87.0,Wilo,442,25.0,513.000000,
1709121857.5795739,88.0,Wilo,441,28.0,585.000000,
1709121858.5789266,89.0,Wilo,469,29.0,654.000000,
1709121859.580647,90.0,Wilo,540,23.0,657.000000,
1709121860.581884,91.0,Wilo,512,22.0,639.000000,
1709121861.5857272,92.0,Wilo,429,20.0,591.000000,
1709121862.582969,93.0,Wilo,400,14.0,591.000000,
1709121863.5865278,94.0,Wilo,522,15.0,420.000000,
1709121864.5860944,95.0,Wilo,546,23.0,465.000000,
1709121865.5871885,96.0,Wilo,535,26.0,639.000000,
1709121866.5892892,97.0,Wilo,525,13.0,582.000000,
1709121867.5885825,98.0,Wilo,519,11.0,408.000000,
1709121868.5902267,99.0,Wilo,584,11.0,387.000000,
1709121869.5920467,100.0,Wilo,569,13.0,399.000000,
1709121870.5933774,101.0,Wilo,425,13.0,405.000000,
1709121871.594025,102.0,Wilo,433,9.0,369.000000,
1709121872.5954866,103.0,Wilo,578,8.0,369.000000,
1709121873.5981126,104.0,Wilo,530,24.0,387.000000,
1709121874.5998693,105.0,Wilo,487,24.0,597.000000,
1709121875.599288,106.0,Wilo,500,14.0,507.000000,
1709121876.599723,107.0,Wilo,424,12.0,345.000000,
1709121877.6021845,108.0,Wilo,387,17.0,384.000000,
1709121878.602852,109.0,Wilo,441,18.0,423.000000,
1709121879.6041913,110.0,Wilo,511,25.0,585.000000,
1709121880.6044054,111.0,Wilo,464,27.0,657.000000,
1709121881.6117783,112.0,Wilo,390,25.0,645.000000,
1709121882.6109838,113.0,Wilo,493,21.0,597.000000,
1709121883.6109025,114.0,Wilo,504,20.0,597.000000,
1709121884.6098328,115.0,Wilo,377,26.0,594.000000,
1709121885.6153023,116.0,Wilo,393,22.0,618.000000,
1709121886.6140647,117.0,Wilo,515,16.0,579.000000,
1709121887.6143441,118.0,Wilo,627,26.0,582.000000,
1709121888.616442,119.0,Wilo,532,28.0,645.000000,
